"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"NABIL","2026-07-06","530","535","523","526","-0.75 %","37,851.00","-"
"NABIL","2026-07-03","540","541","519","530","-2.03 %","114,343.00","-"
"NABIL","2026-07-02","530","545.2","512","541","3.05 %","231,443.00","-"
"NABIL","2026-07-01","520","526","515.09","525","0.59 %","44,906.00","-"
"NABIL","2026-06-30","526","527","520.2","521.9","-0.40 %","24,993.00","-"
"NABIL","2026-06-29","525","530","522","524","-0.19 %","29,220.00","-"
"NABIL","2026-06-26","523","529.9","519.5","525","0.59 %","47,709.00","-"
"NABIL","2026-06-25","524","524","521","521.9","-0.50 %","47,945.00","-"
"NABIL","2026-06-24","529","534.8","520","524.5","-0.85 %","68,419.00","-"
"NABIL","2026-06-23","531","531","528","529","-0.38 %","33,271.00","-"
"NABIL","2026-06-22","535","535","527","531","0.00 %","34,257.00","-"
"NABIL","2026-06-19","536","536","530.1","531","-0.19 %","37,753.00","-"
"NABIL","2026-06-18","505.4","539","505.4","532","0.00 %","23,502.00","-"
"NABIL","2026-06-17","532","535","530.5","532","0.00 %","20,805.00","-"
"NABIL","2026-06-16","532","535","531.3","532","0.09 %","30,151.00","-"
"NABIL","2026-06-15","533","536.7","530","531.5","-0.28 %","39,328.00","-"
"NABIL","2026-06-12","533.1","535","532","533","-0.02 %","27,399.00","-"
"NABIL","2026-06-11","536","537.8","533.1","533.1","-0.54 %","31,193.00","-"
"NABIL","2026-06-10","535","538","531.5","536","0.56 %","29,859.00","-"
"NABIL","2026-06-09","531","535","530.1","533","0.00 %","49,834.00","-"
"NABIL","2026-06-08","536","539.9","530.2","533","-0.37 %","52,406.00","-"
"NABIL","2026-06-05","537","540","535","535","-0.71 %","38,895.00","-"
"NABIL","2026-06-04","563","563","531.1","538.8","0.43 %","35,729.00","-"
"NABIL","2026-06-03","536","539","532","536.5","-0.07 %","36,962.00","-"
"NABIL","2026-06-02","540","540","530","536.9","0.54 %","43,239.00","-"
"NABIL","2026-06-01","537","544","531","534","-0.56 %","44,350.00","-"
"NABIL","2026-05-27","538.7","540","534","537","0.00 %","68,884.00","-"
"NABIL","2026-05-26","540","540","532.1","537","0.30 %","59,432.00","-"
"NABIL","2026-05-25","530","536","530","535.4","1.02 %","59,099.00","-"
"NABIL","2026-05-22","529","530.8","527.9","530","0.40 %","42,686.00","-"
"NABIL","2026-05-21","527.4","530","526.2","527.9","0.09 %","27,246.00","-"
"NABIL","2026-05-20","529.9","531","524","527.4","0.27 %","55,468.00","-"
"NABIL","2026-05-19","526","530","523","526","0.00 %","41,228.00","-"
"NABIL","2026-05-18","527","532","525","526","-0.19 %","44,305.00","-"
"NABIL","2026-05-15","525.1","531","525","527","0.00 %","22,776.00","-"
"NABIL","2026-05-14","530","530","525","527","0.00 %","23,778.00","-"
"NABIL","2026-05-13","527","528","523.1","527","0.00 %","29,723.00","-"
"NABIL","2026-05-12","530","533","527","527","0.00 %","37,974.00","-"
"NABIL","2026-05-11","523","532","523","527","0.76 %","37,981.00","-"
"NABIL","2026-05-08","525","528","520.1","523","0.00 %","44,672.00","-"
"NABIL","2026-05-07","525","525","522.2","523","0.13 %","32,514.00","-"
"NABIL","2026-05-06","525","527","522","522.3","0.13 %","23,570.00","-"
"NABIL","2026-05-05","520","526","516","521.6","0.12 %","38,727.00","-"
"NABIL","2026-05-04","528","535","516","521","-1.33 %","62,346.00","-"
"NABIL","2026-04-30","524","528.1","520","528","0.59 %","47,024.00","-"
"NABIL","2026-04-29","525","527","522","524.9","-0.02 %","36,190.00","-"
"NABIL","2026-04-28","519.2","532","519.2","525","1.12 %","66,167.00","-"
"NABIL","2026-04-27","518","522","517.5","519.2","0.23 %","36,199.00","-"
"NABIL","2026-04-24","520","520","515","518","-0.38 %","38,819.00","-"
"NABIL","2026-04-23","530","530","518","520","-1.23 %","33,344.00","-"
"NABIL","2026-04-22","526","527","519","526.5","0.10 %","66,642.00","-"
"NABIL","2026-04-21","550","550","525","526","-0.38 %","35,671.00","-"
"NABIL","2026-04-20","533","534.9","527.1","528","-0.38 %","39,912.00","-"
"NABIL","2026-04-17","541.6","541.6","528","530","-0.19 %","39,114.00","-"
"NABIL","2026-04-16","535","538","530","531","-0.17 %","59,730.00","-"
"NABIL","2026-04-15","530.5","534","530","531.9","0.36 %","57,069.00","-"
"NABIL","2026-04-13","540","540","520","530","0.09 %","51,167.00","-"
"NABIL","2026-04-10","532","538","526.2","529.5","0.28 %","85,950.00","-"
"NABIL","2026-04-09","521","530","521","528","0.76 %","38,820.00","-"
"NABIL","2026-04-08","520","525","520","524","0.77 %","63,582.00","-"
"NABIL","2026-04-07","523.9","525.9","518","520","0.39 %","48,132.00","-"
"NABIL","2026-04-06","506","522","505","518","2.51 %","66,226.00","-"
"NABIL","2026-04-05","510","518","499.8","505.3","-2.36 %","103,324.00","-"
"NABIL","2026-04-02","512.6","524.9","512","517.5","-1.05 %","83,066.00","-"
"NABIL","2026-04-01","531","531","520","523","-1.51 %","70,913.00","-"
"NABIL","2026-03-31","535","535","520","531","0.76 %","86,278.00","-"
"NABIL","2026-03-30","533","539","525.1","527","-1.33 %","104,673.00","-"
"NABIL","2026-03-29","550","550","534","534.1","-1.64 %","174,352.00","-"
"NABIL","2026-03-26","539","543","533","543","0.74 %","58,580.00","-"
"NABIL","2026-03-25","544","548","538","539","-1.03 %","133,329.00","-"
"NABIL","2026-03-24","546","546","542.5","544.6","0.48 %","99,147.00","-"
"NABIL","2026-03-23","542.1","546","536.7","542","-0.02 %","100,511.00","-"
"NABIL","2026-03-22","545","545.9","537","542.1","1.29 %","178,526.00","-"
"NABIL","2026-03-19","528","536","527","535.2","1.79 %","151,867.00","-"
"NABIL","2026-03-17","523","530","523","525.8","0.54 %","47,099.00","-"
"NABIL","2026-03-16","530","532","523","523","-1.41 %","67,561.00","-"
"NABIL","2026-03-15","531","539","528.5","530.5","0.28 %","92,278.00","-"
"NABIL","2026-03-12","522.1","531.7","522","529","0.38 %","81,850.00","-"
"NABIL","2026-03-11","539","539","525","527","-1.46 %","78,574.00","-"
"NABIL","2026-03-10","545","555","528","534.8","-1.87 %","271,844.00","-"
"NABIL","2026-03-09","514","550","514","545","8.13 %","4,906.00","-"
"NABIL","2026-03-03","508.9","508.9","497","504","1.00 %","53,465.00","-"
"NABIL","2026-03-01","497.9","500","494","499","0.22 %","58,125.00","-"
"NABIL","2026-02-26","498","499","496.5","497.9","0.38 %","32,698.00","-"
"NABIL","2026-02-25","497","499","495","496","0.00 %","30,849.00","-"
"NABIL","2026-02-24","496","497.9","495","496","0.12 %","33,305.00","-"
"NABIL","2026-02-23","494.5","498.6","493","495.4","0.08 %","57,825.00","-"
"NABIL","2026-02-22","497.8","497.8","490","495","-0.40 %","43,286.00","-"
"NABIL","2026-02-17","495","498.5","492","497","-0.18 %","90,768.00","-"
"NABIL","2026-02-16","498.7","498.8","493","497.9","0.59 %","82,231.00","-"
"NABIL","2026-02-12","495","498.7","492.5","495","-0.20 %","83,293.00","-"
"NABIL","2026-02-11","500","500","495","496","-0.08 %","42,061.00","-"
"NABIL","2026-02-10","496","499.8","492.1","496.4","0.10 %","63,267.00","-"
"NABIL","2026-02-09","499","499","494","495.9","-0.52 %","68,038.00","-"
"NABIL","2026-02-08","497.3","500.9","497","498.5","-0.16 %","75,640.00","-"
"NABIL","2026-02-05","499.9","501","496.5","499.3","0.65 %","98,644.00","-"
"NABIL","2026-02-04","489","502","489","496.1","-0.38 %","49,627.00","-"
"NABIL","2026-02-03","500","500","496","498","-0.16 %","78,804.00","-"
"NABIL","2026-02-02","488.2","500","488.2","498.8","0.14 %","61,083.00","-"
"NABIL","2026-02-01","500","506","497","498.1","0.22 %","84,076.00","-"
"NABIL","2026-01-29","500","508","493","497","1.02 %","132,087.00","-"
"NABIL","2026-01-28","492.1","495","490.1","492","-0.59 %","48,841.00","-"
"NABIL","2026-01-27","497","500","492.1","494.9","-0.42 %","72,291.00","-"
