"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"NLIC","2026-07-07","751.5","751.8","742.4","746.9","0.40 %","23,714.00","-"
"NLIC","2026-07-06","745","750","740","743.9","-0.08 %","16,536.00","-"
"NLIC","2026-07-03","781","781","735","744.5","0.07 %","17,656.00","-"
"NLIC","2026-07-02","782.2","782.2","740","744","-0.13 %","19,400.00","-"
"NLIC","2026-07-01","740","749","740","745","1.09 %","7,316.00","-"
"NLIC","2026-06-30","744","745","735","737","-0.54 %","26,169.00","-"
"NLIC","2026-06-29","746.5","746.9","740.1","741","-0.87 %","16,558.00","-"
"NLIC","2026-06-26","745.5","750","744.9","747.5","0.34 %","11,174.00","-"
"NLIC","2026-06-25","750","750","740.2","745","0.01 %","19,751.00","-"
"NLIC","2026-06-24","749.2","752","740","744.9","-0.68 %","43,879.00","-"
"NLIC","2026-06-23","752","755","748.2","750","-1.06 %","23,914.00","-"
"NLIC","2026-06-22","774","774","754","758","-0.13 %","16,370.00","-"
"NLIC","2026-06-19","796.9","796.9","750","759","0.00 %","14,613.00","-"
"NLIC","2026-06-18","759","761","750","759","0.00 %","24,217.00","-"
"NLIC","2026-06-17","797","797","754.5","759","-0.11 %","20,163.00","-"
"NLIC","2026-06-16","798.4","798.4","756.1","759.8","-0.08 %","10,634.00","-"
"NLIC","2026-06-15","760.5","765","758","760.4","-0.01 %","22,801.00","-"
"NLIC","2026-06-12","770","770","755","760.5","-0.07 %","12,083.00","-"
"NLIC","2026-06-11","758","769","757.1","761","0.26 %","19,198.00","-"
"NLIC","2026-06-10","765","769","758","759","-0.78 %","17,199.00","-"
"NLIC","2026-06-09","798","798","756","765","0.66 %","22,997.00","-"
"NLIC","2026-06-08","770","771","759.8","760","-0.99 %","26,395.00","-"
"NLIC","2026-06-05","770","777","765.2","767.6","-1.21 %","26,083.00","-"
"NLIC","2026-06-04","779.8","781","775","777","-0.03 %","22,920.00","-"
"NLIC","2026-06-03","762","784.9","762","777.2","1.58 %","42,809.00","-"
"NLIC","2026-06-02","762","769.9","762","765.1","0.28 %","21,261.00","-"
"NLIC","2026-06-01","774","782","762.5","763","-1.45 %","25,151.00","-"
"NLIC","2026-05-27","770.1","776","765.2","774.2","0.78 %","11,818.00","-"
"NLIC","2026-05-26","776","779","764.1","768.2","-1.01 %","44,776.00","-"
"NLIC","2026-05-25","770","779.8","765","776","0.81 %","11,959.00","-"
"NLIC","2026-05-22","769","779.9","765","769.8","0.10 %","16,979.00","-"
"NLIC","2026-05-21","805.3","805.3","761.5","769","0.26 %","10,975.00","-"
"NLIC","2026-05-20","765","767","759","767","0.72 %","16,102.00","-"
"NLIC","2026-05-19","769.9","769.9","761","761.5","-0.41 %","9,878.00","-"
"NLIC","2026-05-18","762","764.6","758.5","764.6","0.34 %","11,209.00","-"
"NLIC","2026-05-15","760","768","760","762","-0.18 %","19,109.00","-"
"NLIC","2026-05-14","760","764","759.9","763.4","0.16 %","13,031.00","-"
"NLIC","2026-05-13","768.6","768.6","755","762.2","-0.83 %","19,500.00","-"
"NLIC","2026-05-12","779.8","779.8","768","768.6","-0.18 %","17,892.00","-"
"NLIC","2026-05-11","766","775","765","770","0.81 %","16,604.00","-"
"NLIC","2026-05-08","769","770","750","763.8","0.37 %","47,568.00","-"
"NLIC","2026-05-07","774.9","774.9","755","761","0.13 %","21,876.00","-"
"NLIC","2026-05-06","760","775","755","760","-0.39 %","17,099.00","-"
"NLIC","2026-05-05","770","772","755.5","763","0.00 %","17,431.00","-"
"NLIC","2026-05-04","765","775","756.2","763","0.01 %","23,445.00","-"
"NLIC","2026-04-30","762","770","756.3","762.9","0.12 %","22,550.00","-"
"NLIC","2026-04-29","768","770","761","762","-0.78 %","22,143.00","-"
"NLIC","2026-04-28","771","777","767","768","-0.39 %","10,125.00","-"
"NLIC","2026-04-27","770","777.9","765.1","771","0.13 %","12,876.00","-"
"NLIC","2026-04-24","767","774","765","770","-0.13 %","29,170.00","-"
"NLIC","2026-04-23","776","776","768","771","-0.64 %","10,749.00","-"
"NLIC","2026-04-22","773","784.9","767.1","776","0.39 %","21,807.00","-"
"NLIC","2026-04-21","811.2","811.2","771.6","773","0.05 %","17,724.00","-"
"NLIC","2026-04-20","775","788","768","772.6","-0.31 %","15,689.00","-"
"NLIC","2026-04-17","777","780","773","775","-0.51 %","30,119.00","-"
"NLIC","2026-04-16","780","789","778.2","779","-1.02 %","32,388.00","-"
"NLIC","2026-04-15","785","792.4","785","787","0.90 %","25,968.00","-"
"NLIC","2026-04-13","786","789.8","775.1","780","-0.76 %","20,786.00","-"
"NLIC","2026-04-10","800","804","777","786","-0.88 %","20,343.00","-"
"NLIC","2026-04-09","775","796","774.1","793","1.19 %","25,872.00","-"
"NLIC","2026-04-08","789.4","789.4","770","783.7","1.25 %","38,622.00","-"
"NLIC","2026-04-07","777.9","784.9","770","774","0.13 %","22,220.00","-"
"NLIC","2026-04-06","755.1","780","755","773","2.38 %","57,276.00","-"
"NLIC","2026-04-05","771","779","754.6","755","-3.82 %","89,336.00","-"
"NLIC","2026-04-02","780","795.7","769","785","0.00 %","55,782.00","-"
"NLIC","2026-04-01","791.1","798.1","780","785","-1.75 %","53,767.00","-"
"NLIC","2026-03-31","796","804","785","799","0.38 %","55,919.00","-"
"NLIC","2026-03-30","801","805","792","796","-1.27 %","72,713.00","-"
