"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"NTC","2026-07-07","848","849.7","840","848","0.12 %","4,249.00","-"
"NTC","2026-07-06","850","850","845","847","0.12 %","4,024.00","-"
"NTC","2026-07-03","849.9","849.9","844","846","-0.35 %","7,001.00","-"
"NTC","2026-07-02","848","850","848","849","0.13 %","5,018.00","-"
"NTC","2026-07-01","848","848","842","847.9","0.58 %","4,586.00","-"
"NTC","2026-06-30","843","843.1","840","843","0.00 %","6,339.00","-"
"NTC","2026-06-29","848","848","838","843","-0.24 %","8,209.00","-"
"NTC","2026-06-26","850","850","844","845","0.00 %","6,192.00","-"
"NTC","2026-06-25","847","849","842","845","0.12 %","7,792.00","-"
"NTC","2026-06-24","849","850","840","844","-0.59 %","10,354.00","-"
"NTC","2026-06-23","850.4","850.4","840","849","0.04 %","15,314.00","-"
"NTC","2026-06-22","891.4","891.4","840","848.7","-0.04 %","7,815.00","-"
"NTC","2026-06-19","851","851.4","848","849","0.00 %","6,752.00","-"
"NTC","2026-06-18","848.6","850","848","849","0.06 %","6,115.00","-"
"NTC","2026-06-17","850","850","845","848.5","-0.06 %","4,090.00","-"
"NTC","2026-06-16","849","850","845","849","0.12 %","9,317.00","-"
"NTC","2026-06-15","859.8","859.8","845.1","848","-0.46 %","10,695.00","-"
"NTC","2026-06-12","857.6","859","845.2","851.9","0.46 %","14,621.00","-"
"NTC","2026-06-11","847","858","844","848","0.12 %","16,863.00","-"
"NTC","2026-06-10","855","855","846.2","847","-0.43 %","11,049.00","-"
"NTC","2026-06-09","853","856","845","850.7","-0.33 %","14,927.00","-"
"NTC","2026-06-08","857","858","851.5","853.5","-0.41 %","15,429.00","-"
"NTC","2026-06-05","851.1","860","851.1","857","-0.31 %","15,647.00","-"
"NTC","2026-06-04","865","871","850","859.7","-1.18 %","16,416.00","-"
"NTC","2026-06-03","874","878","868","870","0.23 %","17,123.00","-"
"NTC","2026-06-02","860","871.9","860","868","0.46 %","26,550.00","-"
"NTC","2026-06-01","855","890.4","831.7","864","-4.00 %","111,256.00","-"
"NTC","2026-05-27","904","904","896","900","0.00 %","14,697.00","-"
"NTC","2026-05-26","900","903","896.1","900","0.17 %","9,795.00","-"
"NTC","2026-05-25","890","899.9","888.5","898.5","0.91 %","14,947.00","-"
"NTC","2026-05-22","892","892","889","890.4","0.27 %","6,127.00","-"
"NTC","2026-05-21","892","897","885.8","888","0.00 %","5,112.00","-"
"NTC","2026-05-20","880","896","880","888","0.16 %","5,542.00","-"
"NTC","2026-05-19","890","895","886.6","886.6","-0.44 %","15,468.00","-"
"NTC","2026-05-18","894","895","889.2","890.5","-0.17 %","7,931.00","-"
"NTC","2026-05-15","895.9","895.9","888","892","0.22 %","9,275.00","-"
"NTC","2026-05-14","890","893","888","890","0.00 %","7,978.00","-"
"NTC","2026-05-13","890","891","885","890","0.38 %","7,937.00","-"
"NTC","2026-05-12","890","908","886.6","886.6","-0.38 %","12,061.00","-"
"NTC","2026-05-11","889","890","885","890","1.14 %","8,545.00","-"
"NTC","2026-05-08","884.9","884.9","876","880","0.00 %","9,570.00","-"
"NTC","2026-05-07","875.2","883","870.4","880","0.57 %","7,572.00","-"
"NTC","2026-05-06","875","876","870","875","0.32 %","6,660.00","-"
"NTC","2026-05-05","880","880","870","872.2","-0.09 %","9,200.00","-"
"NTC","2026-05-04","872","882","872","873","0.11 %","8,919.00","-"
"NTC","2026-04-30","875","889","867","872","-0.23 %","17,381.00","-"
"NTC","2026-04-29","876","887","873.1","874","-0.23 %","9,723.00","-"
"NTC","2026-04-28","871","881","873","876","0.57 %","12,334.00","-"
"NTC","2026-04-27","870","885","860","871","0.11 %","15,145.00","-"
"NTC","2026-04-24","884","884","860.6","870","-0.23 %","5,466.00","-"
"NTC","2026-04-23","896","896","865","872","0.22 %","14,205.00","-"
"NTC","2026-04-22","883","883","865","870.1","-0.06 %","12,121.00","-"
"NTC","2026-04-21","880.1","885","870.5","870.6","-1.40 %","9,597.00","-"
"NTC","2026-04-20","875","885","875","883","0.34 %","9,319.00","-"
"NTC","2026-04-17","881","885","871","880","0.00 %","12,852.00","-"
"NTC","2026-04-16","879","881","870.1","880","0.11 %","11,980.00","-"
"NTC","2026-04-15","883","883","873","879","1.03 %","9,051.00","-"
"NTC","2026-04-13","870.4","887.3","869.9","870","-1.14 %","12,536.00","-"
"NTC","2026-04-10","890","890","875.5","880","0.02 %","18,347.00","-"
"NTC","2026-04-09","878.3","884","875","879.8","0.43 %","35,471.00","-"
"NTC","2026-04-08","894.5","894.5","872.2","876","-0.11 %","15,283.00","-"
"NTC","2026-04-07","890","890","873","877","0.00 %","10,567.00","-"
"NTC","2026-04-06","869.9","879.5","861","877","2.15 %","20,360.00","-"
"NTC","2026-04-05","883.3","883.3","854.2","858.5","-0.87 %","17,865.00","-"
"NTC","2026-04-02","850.7","875","850.7","866","-0.23 %","17,213.00","-"
"NTC","2026-04-01","880","880","866","868","-1.03 %","22,437.00","-"
"NTC","2026-03-31","884.9","890","870","877","0.23 %","13,480.00","-"
"NTC","2026-03-30","891","891","875","875","-1.89 %","20,255.00","-"
